Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Overseas ($mill),Overseas%,Profit ($mill),Profit%,Runtime (min),US ($mill),Gross % US
Friday,"Steve Hickner, Simon J. Smith",animation,Bee Movie,2/11/2007,Pacific Data/DreamWorks,329.9,150,287.6,6.2,3.01,161,56,137.6,91.7,91,126.6,44
Friday,Stephen Sommers,animation,The Jungle Book,23/12/1994,Disney,330.2,27,205.8,7.6,3.38,64,31.1,178.8,662.2,111,141.8,68.9
Friday,Beeban Kidron,comedy,Bridget Jones: The Edge of Reason,12/11/2004,Universal,330.5,50,262.5,5.9,2.97,222.3,84.7,212.5,425,108,40.2,15.3
Friday,Steve Oedekerk,comedy,Ace Ventura: When Nature Calls,10/11/1995,WB,331.4,30,212.4,6.3,2.62,104,49,182.4,608,90,108.4,51
Friday,Tim Story,action,Fantastic Four: Rise of the Silver Surfer,15/06/2007,Fox,331.5,120,289,5.6,2.86,157.1,54.4,169,140.8,92,131.9,45.6
Friday,Simon West,action,Con Air,6/06/1997,Buena Vista Studios,331.9,80,224,6.8,3.19,122.9,54.9,144,180,115,101.1,45.1
Friday,"Phil Lord, Chris Miller",comedy,22 Jump Street,13/06/2014,Sony,332.8,50,331.3,7.1,3.5,139.6,42.1,281.3,562.6,112,191.7,57.9
Friday,Roberto Benigni,drama,Life Is Beautiful,23/10/1998,MiraMax,334.4,20,229.2,8.6,4.18,171.6,74.9,209.2,1046,116,57.6,25.1
Friday,Gus Van Sant,drama,Good Will Hunting,5/12/1997,MiraMax,334.7,10,225.9,8.3,4.04,87.5,38.7,215.9,2159,126,138.4,61.3
Friday,Joseph McGinty Nichol,action,Charlie's Angels: Full Throttle,27/06/2003,Sony,335,120,259.2,4.8,2.54,158.3,61.1,139.2,116,106,100.8,38.9
Friday,Dennis Dugan,comedy,Big Daddy,25/06/1999,Sony,335.2,30,234.8,6.4,3.12,71.3,30.4,204.8,682.7,93,163.5,69.6
Friday,Stephen Sommers,action,G.I. Joe: The Rise of Cobra,7/08/2009,Paramount Pictures,335.3,175,302.5,5.8,2.85,152.3,50.3,127.5,72.9,118,150.2,49.7
Friday,"Paul Weitz, Chris Weitz",comedy,American Pie,9/07/1999,Universal,336.2,12,235.5,7,3.34,132.9,56.4,223.5,1862.5,95,102.6,43.6
Wednesday,Paul Weitz,comedy,Little Fockers,22/12/2010,Universal,338.8,100,310.7,5.4,2.7,162.2,52.2,210.7,210.7,98,148.4,47.8
Friday,Noam Murro,action,300: Rise of An Empire,7/03/2014,WB,339.1,110,337.6,6.3,2.93,231,68.4,227.6,206.9,102,106.6,31.6
Wednesday,Jonathan Demme,drama,Philadelphia,22/12/1993,TriStar,340.2,26,206.7,8.8,3.82,129.2,62.5,180.7,695,125,77.4,37.5
Friday,Ang Lee,action,The Incredible Hulk,20/06/2003,Universal,340.4,137,263.4,6.9,3.34,128.6,48.8,126.4,92.3,138,134.8,51.2
Friday,Martin Scorsese,thriller,The Departed,6/10/2006,WB,341.8,90,289.8,8.5,4.11,157.5,54.3,199.8,222,151,132.4,45.7
Friday,Wes Ball,action,The Maze Runner,19/09/2014,Fox,342.3,34,340.8,6.9,3.38,238.3,69.9,306.8,902.4,113,102.4,30.1
Friday,"Christopher Williams, Byron Howard",animation,Bolt,21/11/2008,Buena Vista Studios,342.4,150,310,6.9,3.53,195.9,63.2,160,106.7,96,114.1,36.8
Wednesday,M. Night Shyamalan,fantasy,Unbreakable,22/11/2000,Buena Vista Studios,342.6,73.2,248.1,7.2,3.48,153.1,61.7,174.9,238.9,106,95,38.3
Friday,John Lee Hancock,biography,The Blind Side,20/11/2009,WB,342.7,35,309.2,7.7,3.87,53.2,17.2,274.2,783.4,129,256,82.8
Friday,Quentin Tarantino,crime,Pulp Fiction,14/10/1994,MiraMax,343.2,8,213.9,8.9,4.16,106,49.5,205.9,2573.8,154,107.9,50.5
Friday,Barry Levinson,drama,Disclosure,9/12/1994,WB,343.4,55,214,6,3.29,131,61.2,159,289.1,128,83,38.8
Friday,Nancy Meyers,comedy,Something's Gotta Give,12/12/2003,Sony,344.7,80,266.7,6.7,3.49,142,53.2,186.7,233.4,128,124.7,46.8
Wednesday,Phillip Noyce,action,Clear and Present Danger,3/08/1994,Paramount Pictures,346.4,62,215.9,6.9,3.67,93.7,43.4,153.9,248.2,141,122.2,56.6
Friday,David Dobkin,comedy,Wedding Crashers,15/07/2005,New Line Cinema,347.3,40,285.2,7,3.54,75.9,26.6,245.2,613,119,209.3,73.4
Saturday,Brad Peyton,adventure,Journey 2: The Mysterious Island,11/02/2012,WB,347.3,79,335.3,5.8,2.84,231.4,69,256.3,324.4,94,103.9,31
Thursday,M. Night Shyamalan,action,The Last Airbender,1/07/2010,Paramount Pictures,348.7,150,319.7,4.3,2.36,187.9,58.8,169.7,113.1,103,131.8,41.2
Friday,Joe Pytka,animation,Space Jam,15/11/1996,WB,349.2,80,230.4,6.2,2.73,140,60.8,150.4,188,88,90.4,39.2
Friday,Ridley Scott,action,Robin Hood,14/05/2010,Universal,350.8,180,321.7,6.7,3.19,216.4,67.3,141.7,78.7,140,105.3,32.7
Friday,Tom McGrath,animation,Megamind,5/11/2010,Pacific Data/DreamWorks,351.1,130,321.9,7.3,3.72,173.5,53.9,191.9,147.6,95,148.4,46.1
Friday,Anthony Minghella,romance,The English Patient,15/11/1996,MiraMax,351.6,35,232,7.4,3.65,153.3,66.1,197,562.9,162,78.7,33.9
Friday,Anne Fletcher,comedy,The Proposal,19/06/2009,Buena Vista Studios,351.8,40,317.4,6.7,3.52,153.4,48.3,277.4,693.5,108,164,51.7
Friday,Joel Schumacher,action,Batman and Robin,20/06/1997,WB,352.9,125,238.2,3.6,3.06,130.9,54.9,113.2,90.6,125,107.3,45.1
Friday,Michael Bay,action,Bad Boys II,18/07/2003,Sony,353.2,130,273.3,6.5,3.09,134.7,49.3,143.3,110.2,147,138.6,50.7
Friday,Steven Soderbergh,biography,Erin Brockovich,17/03/2000,Universal,353.9,50,256.3,7.3,3.6,130.7,51,206.3,412.6,130,125.6,49
Wednesday,Raja Gosnell,animation,The Smurfs 2,31/07/2013,Sony,354.7,110,347.5,5.4,2.28,276.5,79.6,237.5,215.9,105,71,20.4
Wednesday,"Daniel Myrick, Eduardo Sanchez",horror,The Blair Witch Project,14/07/1999,Art House Studios,354.9,0.6,248.6,6.4,2.88,108.1,43.5,248,41333.3,81,140.5,56.5
Friday,"Quentin Tarantino, Eli Roth",adventure,Inglourious Basterds,21/08/2009,Weinstein Company,356.4,70,321.5,8.3,4.02,200.9,62.5,251.5,359.3,153,120.5,37.5
Friday,George Miller,action,Mad Max: Fury Road,15/05/2015,WB,356.4,150,356.4,8.5,3.95,209.3,58.7,206.4,137.6,120,147.1,41.3
Friday,Brett Ratner,action,Rush Hour,18/09/1998,New Line Cinema,356.6,35,244.4,6.9,3.41,103.2,42.2,209.4,598.3,98,141.2,57.8
Friday,Steven Soderbergh,thriller,Ocean's Thirteen,8/06/2007,WB,357.1,85,311.3,6.9,3.5,194.2,62.4,226.3,266.2,122,117.2,37.6
Friday,Baz Luhrmann,drama,The Great Gatsby (2013),10/05/2013,WB,358.3,190,351,7.3,3.49,206.2,58.7,161,84.7,142,144.8,41.3
Friday,Oliver Stone,thriller,JFK,20/12/1991,WB,358.6,40,205.4,6.4,3.2,135,65.7,165.4,413.5,188,70.4,34.3
Friday,Neil Jordan,drama,Interview with the Vampire,11/11/1994,WB,359,50,223.7,7.6,3.49,118.4,52.9,173.7,347.4,123,105.3,47.1
Friday,Louis Leterrier,thriller,Now You See Me,31/05/2013,Lionsgate/Summit,359,75,351.7,7.3,3.54,234,66.5,276.7,368.9,115,117.7,33.5
Friday,Darren Aronofsky,drama,Black Swan,3/12/2010,Fox Searchlight Pictures,359.2,13,329.4,8,3.88,222.4,67.5,316.4,2433.9,108,107,32.5
Friday,Robert Zemeckis,animation,A Christmas Carol (2009),6/11/2009,Buena Vista Studios,360.6,190,325.3,6.9,3.24,187.4,57.6,135.3,71.2,96,137.9,42.4
Friday,"Dean DeBlois, Chris Sanders",animation,Lilo & Stitch,21/06/2002,Buena Vista Studios,361,80,273.1,7.1,3.49,127.3,46.6,193.1,241.4,85,145.8,53.4
Friday,"Chris Renaud, Kyle Balda",animation,Dr. Seuss' The Lorax,2/03/2012,Universal,361.3,67.5,348.8,6.5,3.17,134.8,38.6,281.3,416.7,86,214,61.4
Friday,Shawn Levy,adventure,Night at the Museum: Secret of the Tomb,19/12/2014,Fox,362,127,360.4,6.3,2.78,246.6,68.4,233.4,183.8,98,113.7,31.6
Friday,Gabriele Muccino,biography,The Pursuit of Happyness,15/12/2006,Sony,362.3,55,307.1,7.9,3.72,143.5,46.7,252.1,458.4,117,163.6,53.3
Friday,Mike Mitchell,animation,Alvin and the Chipmunks: Chipwrecked,16/12/2011,Fox,362.3,80,342.7,4.4,2.11,209.6,61.2,262.7,328.4,87,133.1,38.8
Friday,Paul Greengrass,action,The Bourne Supremacy,23/07/2004,Universal,363.2,85,288.5,7.8,3.85,112.3,38.9,203.5,239.4,108,176.2,61.1
Friday,Hayao Miyazaki,animation,Spirited Away,20/09/2002,Buena Vista Studios,363.4,19,274.9,8.6,4.21,264.9,96.3,255.9,1346.8,125,10.1,3.7
Friday,John Woo,action,Face/Off,27/06/1997,Paramount Pictures,364,80,245.7,7.1,3.65,133.4,54.3,165.7,207.1,138,112.3,45.7
Friday,Darren Aronofsky,action,Noah,28/03/2014,Paramount Pictures,364.2,130,362.6,5.9,2.84,261.4,72.1,232.6,178.9,138,101.2,27.9
Friday,"Ray Patterson, Charles Nichols",animation,Scooby-Doo,14/06/2002,WB,364.4,84,275.7,4.9,2.4,122.4,44.4,191.7,228.2,90,153.3,55.6
Friday,Joseph McGinty Nichol,action,Charlie's Angels,3/11/2000,Sony,364.7,90,264.1,8.1,3.8,138.8,52.6,174.1,193.4,98,125.3,47.4
Friday,John McTiernan,action,The Hunt for Red October,2/03/1990,Paramount Pictures,364.8,30,200.5,7.6,3.86,78.5,39.1,170.5,568.3,134,122,60.9
Friday,Martin Campbell,action,The Mask of Zorro,17/07/1998,Sony,365.2,65,250.3,6.7,3.29,156.2,62.4,185.3,285.1,136,94.1,37.6
Friday,Tony Scott,action,Enemy of the State,20/11/1998,Buena Vista Studios,365.6,85,250.6,7.3,3.54,139.1,55.5,165.6,194.8,132,111.5,44.5
Friday,Francis Ford Coppola,horror,Bram Stoker's Dracula,13/11/1992,Colombia Pictures,365.9,40,215.9,5.6,3.1,133.3,61.8,175.9,439.8,128,82.5,38.2
Friday,Nora Ephron,romance,You've Got Mail,18/12/1998,WB,365.9,65,250.8,6.5,3.16,135,53.8,185.8,285.9,119,115.8,46.2
Friday,Rob Cohen,action,XXX,9/08/2002,Revolution Studios,366.7,70,277.4,5.8,2.81,135.3,48.8,207.4,296.3,124,142.1,51.2
Friday,Mike Newell,action,Prince of Persia: The Sands of Time,28/05/2010,Buena Vista Studios,366.9,200,336.4,6.6,3.26,245.6,73,136.4,68.2,116,90.8,27
Friday,Chuck Russell,action,Eraser,21/06/1996,WB,367.2,100,242.3,6,3.18,141,58.2,142.3,142.3,115,101.3,41.8
Friday,Jonathan Liebesman,action,Teenage Mutant Ninja Turtles,30/03/1990,New Line Cinema,367.5,93,202,6,2.81,66.7,33,77,61.6,101,135.3,67
Friday,Ivan Reitman,action,Kindergarten Cop,21/12/1990,Universal,367.5,26,202,5.9,2.82,110.5,54.7,176,676.9,111,91.5,45.3
Friday,Tim Johnson,animation,Home,27/03/2015,Fox,367.7,130,367.7,6.8,2.38,193,52.5,237.7,182.9,94,174.7,47.5
Thursday,David Fincher,drama,The Curious Case of Benjamin Button,25/12/2008,Paramount Pictures,368.8,160,333.9,7.8,3.65,206.4,61.8,173.9,108.7,166,127.5,38.2
Friday,Simon West,action,Lara Croft: Tomb Raider,15/06/2001,Paramount Pictures,368.9,94,274.7,5.7,2.77,143.5,52.3,180.7,192.2,100,131.2,47.7
Thursday,Todd Phillips,comedy,The Hangover Part III,23/05/2013,WB,369.5,103,362,5.9,2.93,249.8,69,259,251.5,100,112.2,31
Friday,David Fincher,drama,Gone Girl,3/10/2014,Fox,369.8,61,368.1,6.7,3.43,200.3,54.4,307.1,503.4,149,167.8,45.6
Friday,Doug Liman,action,Edge of Tomorrow,6/06/2014,WB,370.9,178,369.2,7.9,3.85,269,72.9,191.2,107.4,113,100.2,27.1
Friday,Genndy Tartakovsky,animation,Hotel Transylvania,28/09/2012,Sony,371.2,85,358.4,7.1,3.38,210.1,58.6,273.4,321.7,91,148.3,41.4
Friday,Mel Smith,comedy,Bean,17/10/1997,Gramercy Pictures,372.2,18,251.2,7.3,3.68,205.9,82,233.2,1295.6,90,45.3,18
Friday,Bryan Singer,action,X-Men: First Class,3/06/2011,Fox,373.8,200,353.6,7.8,3.84,207.2,58.6,153.6,76.8,131,146.4,41.4
Sunday,"Ron Clements, John Musker",animation,Hercules,15/06/1997,Buena Vista Studios,374.4,70,252.7,6.1,2.9,153.6,60.8,182.7,261,92,99.1,39.2
Friday,Nora Ephron,romance,Sleepless in Seattle,25/06/1993,TriStar,374.9,21,227.8,6.8,3.52,101.1,44.4,206.8,984.8,105,126.7,55.6
Wednesday,"Simon J. Smith, Eric Darnell",animation,Penguins of Madagascar,26/11/2014,Fox,375.3,132,373.6,6.8,3.3,290.2,77.7,241.6,183,92,83.4,22.3
Friday,Timur Bekmambetov,action,Wanted,27/06/2008,Universal,377.1,75,341.4,6.7,3.51,206.9,60.6,266.4,355.2,110,134.5,39.4
Friday,Stephen Sommers,action,Van Helsing,7/05/2004,Universal,378,170,300.3,6,2.8,180.1,60,130.3,76.7,131,120.2,40
Friday,Sharon Maguire,comedy,Bridget Jones's Diary,13/04/2001,MiraMax,378.5,25,281.9,6.7,3.46,210.4,74.6,256.9,1027.6,97,71.5,25.4
Wednesday,Peter Cattaneo,comedy,The Full Monty,13/08/1997,Fox Searchlight Pictures,382.1,3.5,257.9,7.2,3.73,212,82.2,254.4,7268.6,91,46,17.8
Friday,Mark Dindal,animation,Chicken Little,4/11/2005,Buena Vista Studios,382.8,60,314.4,5.8,2.91,179,56.9,254.4,424,81,135.4,43.1
Wednesday,Jon M. Chu,action,G.I. Joe: Retaliation,27/03/2013,Paramount Pictures,383.5,130,375.7,5.8,2.75,253.2,67.4,245.7,189,110,122.5,32.6
Friday,Keenen Ivory Wayans,comedy,Scary Movie,7/07/2000,MiraMax,383.9,19,278,7.2,2.77,121,43.5,259,1363.2,88,157,56.5
Friday,Peter Weir,drama,The Truman Show,5/06/1998,Paramount Pictures,385.3,60,264.1,5.5,2.81,138.5,52.4,204.1,340.2,103,125.6,47.6
Friday,David Frankel,comedy,The Devil Wears Prada,30/06/2006,Fox,385.3,35,326.6,6.8,3.41,201.8,61.8,291.6,833.1,109,124.7,38.2
Friday,James B. Rogers,comedy,American Pie 2,10/08/2001,Universal,386.2,30,287.6,6.4,2.98,142.5,49.5,257.6,858.7,108,145.1,50.5
Wednesday,Robert Zemeckis,animation,The Polar Express,10/11/2004,WB,387.1,170,307.5,6.6,3.16,124.1,40.4,137.5,80.9,100,183.4,59.6
Friday,Olivier Megaton,action,Taken 2,5/10/2012,Fox,389.6,45,376.1,6.3,3.17,236.3,62.8,331.1,735.8,92,139.9,37.2
Wednesday,Kevin Lima,comedy,Enchanted,21/11/2007,Buena Vista Studios,390.6,85,340.5,7.2,3.6,212.7,62.5,255.5,300.6,107,127.8,37.5
Friday,Luc Besson,action,The Fifth Element,9/05/1997,Sony,391,95,263.9,7.6,3.71,200.1,75.8,168.9,177.8,126,63.8,24.2
Friday,Harald Zwart,action,The Karate Kid,11/06/2010,Sony,391.6,40,359.1,7.2,3.2,182.5,50.8,319.1,797.8,140,176.6,49.2
Friday,Joe Johnston,action,Captain America: The First Avenger,22/07/2011,Paramount Pictures,391.8,140,370.6,6.8,3.56,193.9,52.3,230.6,164.7,124,176.7,47.7
Thursday,Jay Roach,action,Austin Powers in Goldmember,25/07/2002,New Line Cinema,392.2,63,296.7,6.2,2.99,83.3,28.1,233.7,371,94,213.3,71.9
Friday,Emile Ardolino,comedy,Sister Act,29/05/1992,Buena Vista Studios,392.6,31,231.6,6.2,2.97,92,39.7,200.6,647.1,100,139.6,60.3
Wednesday,Mike Newell,comedy,Four Weddings and a Funeral,9/03/1994,Gramercy Pictures,394.3,4.5,245.7,7.3,3.34,193,78.6,241.2,5360,117,52.7,21.4
Wednesday,Steven Spielberg,animation,The Adventures of Tintin,21/12/2011,Paramount Pictures,395.4,130,374,7.4,3.58,296.4,79.3,244,187.7,107,77.6,20.7
Friday,"Karey Kirkpatrick, Tim Johnson",animation,Over the Hedge,19/05/2006,Pacific Data/DreamWorks,396.3,80,336,6.8,3.42,181,53.9,256,320,83,155,46.1
Friday,Chris Noonan,adventure,Babe,4/08/1995,Universal,396.5,30,254.1,6.8,3.65,190.5,75,224.1,747,89,63.7,25
Friday,"Peter Farrelly, Bobby Farrelly",comedy,Dumb and Dumber,16/12/1994,New Line Cinema,396.8,16,247.3,7.3,2.95,120.1,48.6,231.3,1445.6,107,127.2,51.4
Wednesday,Martin Scorsese,biography,The Wolf of Wall Street,25/12/2013,Paramount Pictures,400.2,100,392,8.2,3.79,275.1,70.2,292,292,180,116.9,29.8
Friday,Robert Zemeckis,drama,What Lies Beneath,21/07/2000,DreamWorks,402.4,90,291.4,6.6,3.23,136,46.7,201.4,223.8,130,155.5,53.3
Friday,Tim Story,action,Fantastic Four,8/07/2005,Fox,402.6,87.5,330.6,5.7,2.9,175.9,53.2,243.1,277.8,106,154.7,46.8
Friday,Matthew Vaughn,action,Kingsman: The Secret Service,13/02/2015,Fox,403.8,81,403.8,7.9,3.66,275.5,68.2,322.8,398.5,129,128.2,31.8
Wednesday,"Ron Clements, John Musker",animation,The Little Mermaid,15/11/1989,Buena Vista Studios,405.2,40,211.3,6.6,3.24,99.8,47.2,171.3,428.3,83,111.5,52.8
Friday,Rob Marshall,comedy,Chicago,27/12/2002,MiraMax,405.6,30,306.8,7.2,3.58,136.1,44.4,276.8,922.7,113,170.7,55.6
Friday,Bryan Singer,action,X-Men,14/07/2000,Fox,409.2,200,296.3,7.4,3.59,139,46.9,96.3,48.2,131,157.3,53.1
Friday,Frank Darabont,crime,The Green Mile,10/12/1999,WB,409.4,60,286.8,8.5,3.99,150,52.3,226.8,378,189,136.8,47.7
Friday,Joe Johnston,adventure,Jumanji,15/12/1995,Sony,410.1,65,262.8,6.8,3.22,162.3,61.8,197.8,304.3,104,100.5,38.2
Friday,Rupert Sanders,action,Snow White and the Huntsman,1/06/2012,Universal,410.8,170,396.6,6.1,2.99,241.3,60.8,226.6,133.3,127,155.3,39.2
Thursday,Joseph McGinty Nichol,action,Terminator Salvation,21/05/2009,WB,411.7,200,371.4,6.7,3.27,246,66.3,171.4,85.7,115,125.3,33.7
Friday,Rob Reiner,thriller,A Few Good Men,11/12/1992,Colombia Pictures,412.2,33,243.2,7.6,3.81,101.9,41.9,210.2,637,138,141.3,58.1
Friday,"Kevin Reynolds, Kevin Costner",action,Waterworld,28/07/1995,Universal,412.3,175,264.2,6.1,2.86,176,66.6,89.2,51,136,88.2,33.4
Friday,Ivan Reitman,action,Ghostbusters II,16/06/1989,Colombia Pictures,413.1,37,215.4,6.5,2.98,102.9,47.8,178.4,482.2,108,112.5,52.2
Friday,Gavin Hood,action,X-Men Origins: Wolverine,1/05/2009,Fox,413.6,150,373.1,6.7,3.33,193.2,51.8,223.1,148.7,107,179.9,48.2
Friday,Tim Hill,animation,Alvin and the Chipmunks,14/12/2007,Fox,414.5,55,361.3,5.3,2.54,144,39.9,306.3,556.9,92,217.3,60.1
Friday,Cameron Crowe,comedy,Jerry Maguire,13/12/1996,Sony,414.7,50,273.6,7.3,3.63,119.6,43.7,223.6,447.2,139,154,56.3
Friday,Tom Shadyac,comedy,The Nutty Professor,28/06/1996,Universal,415.3,55,274,5.5,2.91,145.1,53,219,398.2,95,128.8,47
Wednesday,Jay Roach,comedy,Meet the Parents,22/12/2004,Universal,415.9,60,330.4,7,3.46,164.2,49.7,270.4,450.7,115,166.2,50.3
Friday,Richard Donner,action,Lethal Weapon 4,10/07/1998,WB,416.4,140,285.4,6.6,3.12,155,54.3,145.4,103.9,127,130.4,45.7
Wednesday,"Danny Boyle, Loveleen Tandan",drama,Slumdog Millionaire,12/11/2008,Fox Searchlight Pictures,417.4,14,377.9,8,3.96,236.6,62.6,363.9,2599.3,120,141.3,37.4
Friday,Ridley Scott,adventure,Prometheus,8/06/2012,Fox,417.8,125,403.4,7,3.43,276.9,68.6,278.4,222.7,124,126.5,31.4
Friday,Guillermo del Toro,action,Pacific Rim,12/07/2013,WB,419.6,190,411,6.1,2.78,309.2,75.2,221,116.3,131,101.8,24.8
Friday,Renny Harlin,action,Cliffhanger,28/05/1993,TriStar,419.7,65,255,6.4,3.07,171,67,190,292.3,113,84,33
Friday,Ron Howard,biography,A Beautiful Mind,21/12/2001,Universal,421,78,313.5,8.2,3.93,142.8,45.5,235.5,301.9,135,170.7,54.5
Friday,John Madden,comedy,Shakespeare in Love,11/12/1998,MiraMax,422.1,26,289.3,7.2,3.84,189,65.3,263.3,1012.7,123,100.3,34.7
Friday,"Conrad Vernon, Rob Letterman",animation,Monsters Vs. Aliens,27/03/2009,Pacific Data/DreamWorks,422.9,175,381.5,6.6,3.29,183.2,48,206.5,118,94,198.4,52
Wednesday,"Carlos Saldanha, Michael Thurmeier",animation,Ice Age,1/07/2009,Fox,424.9,90,383.3,7.6,3.61,206.9,54,293.3,325.9,94,176.4,46
Saturday,Chris Weitz,adventure,The Golden Compass,1/12/2007,New Line Cinema,427,205,372.2,6.1,3.18,302.1,81.2,167.2,81.6,113,70.1,18.8
Friday,Joe Johnston,adventure,"Honey, I Shrunk the Kids",23/06/1989,Buena Vista Studios,427.1,18,222.7,6.2,2.69,92,41.3,204.7,1137.2,93,130.7,58.7
Friday,J. J. Abrams,sci-fi,Star Trek,8/05/2009,Paramount Pictures,427.5,140,385.7,8,3.97,128,33.2,245.7,175.5,127,257.7,66.8
Friday,Rob Minkoff,adventure,Stuart Little,17/12/1999,Sony,428.4,133,300.1,5.9,2.91,160.1,53.3,167.1,125.6,84,140,46.7
Friday,Catherine Hardwicke,drama,Twilight,21/11/2008,Summit Entertainment,433.6,37,392.6,5.2,2.76,199.8,50.9,355.6,961.1,122,192.8,49.1
Friday,Ivan Reitman,comedy,Twins,9/12/1988,Universal,435.4,15,216.6,5.9,2.82,104.7,48.3,201.6,1344,105,111.9,51.7
Friday,Joseph Kosinski,action,Tron Legacy,17/12/2010,Buena Vista Studios,436.3,200,400.1,6.8,3.38,228,57,200.1,100.1,125,172.1,43
Wednesday,Renny Harlin,action,Die Hard 2: Die Harder,4/07/1990,Fox,436.7,70,240,7.1,3.42,122.5,51,170,242.9,124,117.5,49
Friday,Richard Donner,action,Lethal Weapon 2,7/07/1989,WB,437.1,25,227.9,7.2,3.29,80.6,35.4,202.9,811.6,114,147.3,64.6
Friday,Alex Proyas,sci-fi,"I, Robot",16/07/2004,Fox,437.1,105,347.2,7.1,3.46,202.4,58.3,242.2,230.7,115,144.8,41.7
Friday,Jon Turteltaub,adventure,National Treasure,19/11/2004,Buena Vista Studios,437.5,100,347.5,6.9,3.42,174.5,50.2,247.5,247.5,131,173,49.8
Wednesday,Adrian Lyne,drama,Indecent Proposal,7/04/1993,Paramount Pictures,438.7,38,266.6,5.8,2.85,160,60,228.6,601.6,117,106.6,40
Wednesday,Len Wiseman,action,Live Free or Die Hard,27/06/2007,Fox,439.9,110,383.5,7.2,3.58,249,64.9,273.5,248.6,128,134.5,35.1
Tuesday,Quentin Tarantino,adventure,Django Unchained,25/12/2012,Weinstein Company,440.6,100,425.4,8.5,4.04,262.6,61.7,325.4,325.4,165,162.8,38.3
Friday,Brad Peyton,action,San Andreas,29/05/2015,WB,441.2,110,441.2,6.6,2.84,299.2,67.8,331.2,301.1,114,142,32.2
Friday,Garry Marshall,comedy,Runaway Bride,30/07/1999,Paramount Pictures,441.8,70,309.5,6.6,3.46,157.2,50.8,239.5,342.1,116,152.3,49.2
Friday,Rob Cohen,action,The Mummy: Tomb of the Dragon Emperor,1/08/2008,Universal,443,175,401.1,5.2,2.63,298.6,74.4,226.1,129.2,112,102.5,25.6
Friday,P. J. Hogan,comedy,My Best Friend's Wedding,20/06/1997,Sony,443.5,46,299.3,7.1,3.33,172.2,57.5,253.3,550.7,105,127.1,42.5
Friday,"Barry Cook, Tony Bancroft",animation,Mulan,19/06/1998,Buena Vista Studios,444,90,304.3,7.5,2.84,183.7,60.4,214.3,238.1,88,120.6,39.6
Wednesday,Sydney Pollack,thriller,The Firm,30/06/1993,Paramount Pictures,444.7,42,270.2,6.8,3.5,111.9,41.4,228.2,543.3,154,158.3,58.6
Thursday,Robert Zemeckis,action,Back to the Future Part III,24/05/1990,Universal,444.9,40,244.5,7.4,3.24,156.8,64.1,204.5,511.3,118,87.7,35.9
Thursday,Jay Roach,comedy,Austin Powers: The Spy Who Shagged Me,10/06/1999,New Line Cinema,445.3,35,312,6.6,3.21,106,34,277,791.4,95,206,66
Friday,Emile Ardolino,drama,Dirty Dancing,21/08/1987,Vestron Pictures,448,6,214,6.8,3.22,150,70.1,208,3466.7,100,64,29.9
Friday,Andy Tennant,comedy,Hitch,11/02/2005,Sony,448.2,55,368.1,8.2,3.94,188.6,51.2,313.1,569.3,118,179.5,48.8
Friday,Tom Shadyac,comedy,Liar Liar,21/03/1997,Universal,448.5,45,302.7,6.8,3.21,121.3,40.1,257.7,572.7,86,181.4,59.9
Friday,"Brad Silberling, Phil Nibbelink",comedy,Casper,26/05/1995,Universal,449.2,55,287.9,6,2.9,187.6,65.2,232.9,423.5,100,100.3,34.8
Wednesday,"Olivier Nakache, Eric Toledano",drama,The Intouchables,2/11/2011,Weinstein Company,451,10,426.6,8.6,4.14,416.4,97.6,416.6,4166,112,10.2,2.4
Friday,Tom Hooper,biography,The King's Speech,26/11/2010,Weinstein Company,451.7,15,414.2,8.1,4.02,275.4,66.5,399.2,2661.3,118,138.8,33.5
Friday,Tim Burton,action,Batman Returns,19/06/1992,WB,452.2,80,266.8,7,3.09,104,39,186.8,233.5,126,162.8,61
Friday,Peter Weir,drama,Dead Poets Society,2/06/1989,Buena Vista Studios,452.4,16.4,235.9,8,3.89,140,59.4,219.5,1338.4,128,95.9,40.6
Friday,"George Miller, Warren Coleman, Judy Morris",animation,Happy Feet,17/11/2006,WB,453.3,85,384.3,6.5,3.13,186.3,48.5,299.3,352.1,108,198,51.5
Friday,Michael Apted,adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader,10/12/2010,Fox,453.3,155,415.7,6.4,3.36,311.3,74.9,260.7,168.2,113,104.4,25.1
Friday,Wolfgang Petersen,action,The Perfect Storm,30/06/2000,WB,453.9,120,328.7,6.4,3.08,146.1,44.4,208.7,173.9,130,182.6,55.6
Wednesday,Christopher Nolan,action,Batman Begins,15/06/2005,WB,455.6,150,374.2,8.3,3.97,167.4,44.7,224.2,149.5,140,206.9,55.3
Friday,Steven Soderbergh,thriller,Ocean's Twelve,10/12/2004,WB,456.6,85,362.7,6.4,3.25,237.2,65.4,277.7,326.7,125,125.5,34.6
Tuesday,Tom Hooper,drama,Les Miserables (2012),25/12/2012,Universal,457.6,61,441.8,6,2.92,293,66.3,380.8,624.3,158,148.8,33.7
Friday,Shawn Levy,comedy,Night at the Museum: Battle of the Smithsonian,22/05/2009,Fox,457.9,150,413.1,5.9,3.01,235.9,57.1,263.1,175.4,104,177.2,42.9
